TokenBody,ExampleToken,FieldKey,PlainEnglishMeaning,Confidence,ContextTags,Source,SourcePath,Notes,ExampleAbilityIds
DURA_HOURS,COM_0_DURA_HOURS,Duration,"Read component slot 0 (component id 3110), then read the selected component's Duration field and format it as hours",Confirmed,,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 5 extracted string occurrence(s); component field Duration; component operation ids 22, 5; example ability ids 15059, 15060, 15061, 1527, 8492; example text: ""Increases Renown gained by {COM_0_VAL1}% for {COM_0_DURA_HOURS}."".",1527 8492 15059 15060 15061
DURA_MINUTES,COM_0_DURA_MINUTES,Duration,"Read component slot 0 (component id 585), then read the selected component's Duration field and format it as minutes",Confirmed,Damage Heal Stagger,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 96 extracted string occurrence(s); component field Duration; component operation ids 13, 15, 2, 22, 26, 40, 5, 8; context tags Damage, Heal, Stagger; example ability ids 10802, 10803, 10804, 10805, 10806, 10807, 10808, 10809, 10887, 10888, 10889, 10890, 10891, 10892, 10893, 10894, 10895, 10896, 10954, 14508, 1524, 1529, 15616, 15617; example text: ""Increases your Strength by {COM_0_VAL0} for {COM_0_DURA_MINUTES}."".",1524 1529 7897 7898 7899 7900 7901 7902 7903 7904 7905 7906 7907 7908 7909 7910 7911 7912 7913 7914 7915 7916 7917 7918
DURA_SECONDS,COM_0_DURA_SECONDS,Duration,"Read component slot 0 (component id 3287), then read the selected component's Duration field and format it as seconds",Confirmed,CrowdControl Damage Disarm Heal Immunity Knockback Knockdown Root Silence Snare Stagger Stun,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1641 extracted string occurrence(s); component field Duration; component operation ids 1, 11, 12, 13, 15, 16, 17, 2, 20, 21, 22, 23, 25, 26, 3, 33, 34, 36, 38, 4, 5, 6, 8; context tags CrowdControl, Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun; example ability ids 10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008, 10009, 10010, 10011, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10025, 10026; example text: ""Deals {COM_0_VAL0_TOD} magical damage over {COM_0_DURA_SECONDS} to your target."".",2 3 6 7 8 9 17 21 22 28 43 44 45 46 54 55 57 58 59 240 241 245 361 365
FREQ_SECONDS,COM_0_FREQ_SECONDS,Interval,"Read component slot 0 (component id 1570), then read the selected component's Interval field and format it as seconds",Confirmed,Damage Heal Stun,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 152 extracted string occurrence(s); component field Interval; component operation ids 1, 15, 26, 3, 36, 6; context tags Damage, Heal, Stun; example ability ids 1511, 1518, 1526, 1537, 1543, 1544, 1551, 1617, 1618, 1689, 18812, 24676, 24678, 27622, 27654, 27686, 27718, 27742, 27758, 27782, 27790, 28, 365, 370; example text: ""Opens the Turret's safety-release valves for up to {COM_0_DURA_SECONDS}, repeatedly dealing  {COM_1_VAL0_CORPOREALDAMAGE} every {COM_0_FREQ_SECONDS} to all targets within {COM_1_RADI_FEET}."".",28 58 365 370 425 447 651 1511 1518 1526 1537 1543 1544 1551 1617 1618 1689 7205 7206 7207 7208 7209 7210 7211
RADI_FEET,COM_1_RADI_FEET,Radius,"Read component slot 1 (component id 3289), then read the selected component's Radius field and format it as feet",Confirmed,Damage Disarm Heal Immunity Knockback Knockdown Root Silence Snare Stagger,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 432 extracted string occurrence(s); component field Radius; component operation ids 1, 10, 11, 12, 13, 15, 16, 19, 2, 20, 21, 22, 23, 24, 28, 3, 36, 4, 46, 6, 8, 9; context tags Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger; example ability ids 10404, 10778, 10780, 10837, 10838, 11, 12, 13255, 1361, 1366, 1367, 1370, 1372, 1378, 1380, 1381, 1383, 1386, 1387, 1425, 1435, 1441, 14416, 14527; example text: ""Deals {COM_0_VAL0_TOD} magical damage over {COM_0_DURA_SECONDS} to all targets within {COM_0_RADI_FEET}."".",5 11 12 25 27 28 42 43 56 57 59 60 61 241 364 368 371 389 390 424 427 428 440 441
VAL0,COM_1_VAL0,Value[0],"Read component slot 1 (component id 3286), then read the selected component's Value[0] field and insert the raw numeric result into client text",Confirmed,Damage Heal Knockback Knockdown Root Silence Snare Stagger,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1460 extracted string occurrence(s); component field Value[0]; component operation ids 1, 11, 13, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 26, 3, 36, 4, 5, 6, 7, 8; context tags Damage, Heal, Knockback, Knockdown, Root, Silence, Snare, Stagger; example ability ids 10097, 10098, 10099, 10100, 10101, 10102, 10103, 10104, 10105, 10106, 10107, 10109, 10110, 10111, 10112, 10113, 10114, 10115, 10116, 10117, 10118, 10119, 10121, 10122; example text: ""Deals {COM_0_VAL0} magical damage to your target."".",2 17 21 44 45 46 54 240 241 245 429 442 500 503 521 523 542 543 544 547 550 563 569 585
VAL0_ACTIONPOINTS,COM_0_VAL0_ACTIONPOINTS,Value[0],"Read component slot 0 (component id 782), then read the selected component's Value[0] field and render it as action points in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 68 extracted string occurrence(s); component field Value[0]; component operation ids 1, 6; context tags Damage, Heal; example ability ids 10308, 10309, 10310, 10311, 10312, 10313, 10314, 10315, 10316, 10317, 10318, 10846, 10847, 10848, 10849, 10850, 10851, 10852, 10853, 10854, 10855, 13252, 1372, 1411; example text: ""A piercing howl that deals damage to all enemies that are very close and drains {COM_1_VAL0_ACTIONPOINTS} from each enemy hit."".",545 549 568 633 1372 1411 1728 7092 7093 7094 7095 7096 7097 7098 7099 7889 7890 7891 8030 8037 8126 8173 8175 8176
VAL0_COM_0_DURA_MINUTES,COM_0_VAL0_COM_0_DURA_MINUTES,Value[0],"Read component slot 0 (component id 17989), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_MINUTES` (read component slot 0, then read the selected component's Duration field and format it as minutes) in this text context",Confirmed,Damage Immunity,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 6 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Immunity; example ability ids 18809, 7937, 7938, 7939, 7940, 7941; example text: ""Spikes cover your body for {COM_0_VAL0_COM_0_DURA_MINUTES}, dealing {COM_0_VAL0_COM_1_VAL0_DAMAGE} to anyone that hits you with a melee attack."".",7937 7938 7939 7940 7941 18809
VAL0_COM_0_DURA_SECONDS,COM_1_VAL0_COM_0_DURA_SECONDS,Value[0],"Read component slot 1 (component id 12269), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Duration field and format it as seconds) in this text context",Confirmed,Damage Disarm Heal Silence Snare Stagger,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 131 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Disarm, Heal, Silence, Snare, Stagger; example ability ids 10388, 10856, 10857, 10858, 10859, 10860, 10861, 10862, 10863, 10864, 10865, 1356, 1357, 1364, 1395, 1409, 1431, 1432, 1438, 1463, 1479, 1485, 1524, 1541; example text: ""Deals {COM_0_VAL0_DAMAGE} to the target, and an additional {COM_1_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_1_VAL0_COM_0_DURA_SECONDS}."".",49 245 526 568 589 758 760 779 1356 1357 1364 1395 1409 1431 1432 1438 1463 1479 1485 1524 1541 1666 1742 1744
VAL0_COM_0_RADI_FEET,COM_0_VAL0_COM_0_RADI_FEET,Value[0],"Read component slot 0 (component id 3788), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_RADI_FEET` (read component slot 0, then read the selected component's Radius field and format it as feet) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 9 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1447, 1748, 1759, 1833, 27694, 27726, 8170, 8188, 9271; example text: ""Deals damage to targets within {COM_1_VAL0_COM_0_RADI_FEET} and returns 150% of it as health to your healing target."".",1447 1748 1759 1833 8170 8188 9271 27694 27726
