OperationId,OperationName,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,TokenRenderings,SemanticSummary,Confidence,TriageBucket,TriageScore,TriageNotes,ContextTags,Notes
23,APPLY_ABILITY,ActivationDelay,74,14,"100, 1000, 10000, 15, 1500, 200, 25, 250, 300, 350, 50, 500",(none),Delay before the component payload activates after its trigger fires.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","74 non-zero observation(s) across 2075 component row(s); example component ids: 10481, 10696, 11085, 11327, 11356, 11428, 11429, 11468, 11484, 11492, 11513, 11575. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This inferred meaning comes from the descriptive client field name and the observed value shapes in extracted client BIN rows. The client-side field name and the observed round-number values indicate a timing control field rather than an enum or identifier. Dominant raw values: 250 x25, 500 x18, 1500 x5, 15 x4, 25 x4, 50 x4. Exact display formatting is not directly token-confirmed yet."
23,APPLY_ABILITY,Duration,33,16,"10000, 12000, 15000, 1700, 180000, 1800000, 2000, 250, 3000, 300000, 3600000, 6000",DURA_SECONDS,read the selected component's Duration field and format it as seconds.,Confirmed,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockdown, Silence, Stagger, Stun","33 non-zero observation(s) across 2075 component row(s); example component ids: 11027, 1219, 12698, 12699, 12702, 12764, 12904, 12905, 14172, 14721, 15136, 17989. Layouts: u32-values. Client-token evidence comes from extracted ability text. Londo rows are last-resort toolkit references and should be treated cautiously."
23,APPLY_ABILITY,Interval,7,3,"1000, 3000, 5000",FREQ_SECONDS,read the selected component's Interval field and format it as seconds.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","7 non-zero observation(s) across 2075 component row(s); example component ids: 11027, 11274, 12768, 14721, 15691, 15692, 9871. Layouts: u32-values. No direct operation-specific token evidence exists yet. These rows come from the same field key observed in other component operations and are therefore inferred for this operation."
23,APPLY_ABILITY,Radius,159,20,"10, 120, 1250, 150, 180, 200, 2000, 240, 2400, 250, 300, 3000",RADI_FEET,read the selected component's Radius field and format it as feet.,Confirmed,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Heal, Stagger","159 non-zero observation(s) across 2075 component row(s); example component ids: 11197, 11200, 12773, 12837, 13374, 13376, 13378, 13945, 14365, 15162, 15182, 15865. Layouts: u32-values. Client-token evidence comes from extracted ability text. Londo rows are last-resort toolkit references and should be treated cautiously."
23,APPLY_ABILITY,ConeAngle,6,3,"220, 45, 90",(none),Directional cone arc width used by the component payload.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","6 non-zero observation(s) across 2075 component row(s); example component ids: 3496, 3501, 3729, 3731, 5015, 852. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This inferred meaning comes from the descriptive client field name and the observed value shapes in extracted client BIN rows. The client-side field name and the observed values align with common arc widths such as 45, 90, 120, 135, 180, and 360. Dominant raw values: 220 x4, 45 x1, 90 x1. Exact display formatting is not directly token-confirmed yet."
23,APPLY_ABILITY,FlightSpeed,1,1,250,(none),Projectile or travel-speed control for the component payload.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun",1 non-zero observation(s) across 2075 component row(s); example component ids: 143. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This inferred meaning comes from the descriptive client field name and the observed value shapes in extracted client BIN rows. The client-side field name and the observed values behave like speed magnitudes rather than compact selector enums. Dominant raw values: 250 x1. Exact display formatting is not directly token-confirmed yet.
23,APPLY_ABILITY,MaxTargets,118,7,"1, 2, 3, 30, 4, 6, 9",(none),Maximum target-count cap for the component payload.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","118 non-zero observation(s) across 2075 component row(s); example component ids: 11197, 11200, 12773, 12837, 13374, 13376, 13378, 14365, 15162, 15182, 15865, 18048. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This inferred meaning comes from the descriptive client field name and the observed value shapes in extracted client BIN rows. The client-side field name and the observed small integer values indicate a hard cap on how many targets the component may affect. Dominant raw values: 1 x73, 9 x37, 3 x2, 30 x2, 4 x2, 2 x1. Exact display formatting is not directly token-confirmed yet."
23,APPLY_ABILITY,FlagsRaw,260,12,"1, 12, 16, 18, 2, 24, 28, 3, 4, 5, 7, 8",(none),Packed raw flag bitfield for the component payload.,Structural,Critical,177,priority operation; 2331 referencing abilities; 260 non-zero rows; 12 distinct values; flag bitfield candidate; structural role inferred.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","260 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 1026, 1027, 10684, 10687, 10688, 10689, 10690, 10691, 11041, 11042, 11043. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This structural inference comes from the explicit client field name and the recurring raw bit-pattern values in extracted client BIN rows. The client field name is explicit, but the exact meaning of each bit is still operation-specific and unresolved. Value-note bit positions are zero-based. Dominant raw values: 16 x79, 1 x32, 4 x32, 7 x30, 12 x28, 2 x24. Exact per-bit retail semantics are still unresolved; use the value-profile evidence to inspect recurring flag combinations."
23,APPLY_ABILITY,Value08,25,1,1,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,High,133,priority operation; 2331 referencing abilities.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","25 non-zero observation(s) across 2075 component row(s); example component ids: 10702, 11274, 12768, 15682, 15687, 15691, 15692, 16952, 16955, 16958, 16961, 16964. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Value15,11,4,"1, 16, 4, 64",(none),No extracted-client semantic mapping is known yet for this field.,Unknown,High,138,priority operation; 2331 referencing abilities.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","11 non-zero observation(s) across 2075 component row(s); example component ids: 11027, 11274, 11293, 11294, 11295, 15691, 15692, 25079, 25083, 3078, 8862. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
