AreaKey,AreaTitle,Rank,GlobalRank,PriorityBucket,PriorityScore,SubjectKind,SubjectKey,Title,Summary,Evidence,RecommendedAction,ExampleAbilityId,ReferencePath,ReferenceLocation
Coverage,Coverage Gaps,1,1,Critical,190,MissingPattern,"csv, bin, effect-text, effect-row, components","Common missing pattern: csv, bin, effect-text, effect-row, components",14987 abilities still share this extracted-client gap pattern.,"Statuses: StringsOnly. Samples: 980, 981, 982, 983, 984, 985, 986, 1113, 1114, 1250, 1855.",Resolve the missing root effect link so ability flow can be traced through the client effect chain.,,,
Requirements,Requirement Semantics,1,2,Critical,189,Requirement,9622,Requirement 9622,9 requirement fields still lack named semantics across 1 exported row(s).,"Direct abilities: 420. Components: 485. Parents: 0. Children: 2. Fields: ExtData[0].Val1, ExtData[0].Val2, ExtData[0].Val3, ExtData[0].Val4, ExtData[0].Val5, ExtData[1].Val1. Sample abilities: 1 (Ard Noggin), 2 (Big Claw), 3 (Bounce), 127 (Fang And Claw), 128 (Maul), 129 (Gut Ripper ), 130 (Infinite Knowledge), 131 (Divine Fury).",Decode the unresolved requirement ext-data fields before widening the current narrow `ExtData[*].Val6 -> RequirementId` linkage rule.,1,,
Requirements,Requirement Semantics,2,3,Critical,189,Requirement,9625,Requirement 9625,9 requirement fields still lack named semantics across 1 exported row(s).,"Direct abilities: 420. Components: 485. Parents: 0. Children: 2. Fields: ExtData[0].Val1, ExtData[0].Val2, ExtData[0].Val3, ExtData[0].Val4, ExtData[0].Val5, ExtData[1].Val1. Sample abilities: 1 (Ard Noggin), 2 (Big Claw), 3 (Bounce), 127 (Fang And Claw), 128 (Maul), 129 (Gut Ripper ), 130 (Infinite Knowledge), 131 (Divine Fury).",Decode the unresolved requirement ext-data fields before widening the current narrow `ExtData[*].Val6 -> RequirementId` linkage rule.,1,,
Requirements,Requirement Semantics,3,4,Critical,180,Requirement,9100,Requirement 9100,15 requirement fields still lack named semantics across 1 exported row(s).,"Direct abilities: 172. Components: 212. Parents: 0. Children: 0. Fields: ExtData[0].Val1, ExtData[0].Val2, ExtData[0].Val3, ExtData[0].Val4, ExtData[0].Val7, ExtData[1].Val1. Sample abilities: 12 (Goop Shootin'), 74 (Pay No Mind), 97 (Clever Recovery), 694 (Flashbang Grenade), 1409 (Taunt), 1488 (Feinted Positioning), 1544 (Bugman's Best), 1586 (Power From The Ashes).",Decode the unresolved requirement ext-data fields before widening the current narrow `ExtData[*].Val6 -> RequirementId` linkage rule.,12,,
Requirements,Requirement Semantics,4,5,Critical,177,Requirement,9260,Requirement 9260,9 requirement fields still lack named semantics across 1 exported row(s).,"Direct abilities: 72. Components: 70. Parents: 0. Children: 0. Fields: ExtData[0].Val1, ExtData[0].Val2, ExtData[0].Val3, ExtData[0].Val4, ExtData[0].Val9, ExtData[1].Val1. Sample abilities: 14545 (Enhanced Brawn I), 14546 (Enhanced Brawn II), 14547 (Enhanced Brawn III), 14548 (Enhanced Knowledge I), 14549 (Enhanced Knowledge II), 14550 (Enhanced Knowledge III), 14551 (Enhanced Wisdom I), 14552 (Enhanced Wisdom II).",Decode the unresolved requirement ext-data fields before widening the current narrow `ExtData[*].Val6 -> RequirementId` linkage rule.,14545,,
Coverage,Coverage Gaps,2,6,Critical,175,MissingPattern,"bin, effect-text, components","Common missing pattern: bin, effect-text, components",2137 abilities still share this extracted-client gap pattern.,"Statuses: Partial. Samples: 4, 36, 39, 40, 50, 51, 52, 53, 62, 63, 64, 69.",Recover the missing component linkage before trying to interpret operation semantics.,4,,
Coverage,Coverage Gaps,3,7,Critical,175,MissingPattern,"bin, effect-text, effect-row, components","Common missing pattern: bin, effect-text, effect-row, components",128 abilities still share this extracted-client gap pattern.,"Statuses: Partial. Samples: 209, 229, 286, 358, 455, 456, 457, 458, 459, 603, 604, 626.",Resolve the missing root effect link so ability flow can be traced through the client effect chain.,209,,
Coverage,Coverage Gaps,4,8,Critical,175,MissingPattern,"csv, effect-text","Common missing pattern: csv, effect-text",7133 abilities still share this extracted-client gap pattern.,"Statuses: Partial. Samples: 564, 1727, 1830, 1851, 1852, 1853, 1854, 1856, 1857, 1858, 1859, 1860.",Backfill the missing localized strings so reports stop depending on internal-only labels.,564,,
Coverage,Coverage Gaps,5,9,Critical,175,MissingPattern,"csv, effect-text, effect-row","Common missing pattern: csv, effect-text, effect-row",1633 abilities still share this extracted-client gap pattern.,"Statuses: Partial. Samples: 987, 988, 989, 990, 991, 5240, 5250, 5264, 5281, 5294, 5300, 5325.",Resolve the missing root effect link so ability flow can be traced through the client effect chain.,987,,
Coverage,Coverage Gaps,6,10,Critical,175,MissingPattern,"effect-text, effect-row","Common missing pattern: effect-text, effect-row",561 abilities still share this extracted-client gap pattern.,"Statuses: Partial. Samples: 153, 156, 168, 169, 175, 177, 188, 189, 196, 197, 208, 216.",Resolve the missing root effect link so ability flow can be traced through the client effect chain.,153,,
